output_name,txt_found,status,message,saved_rows,closest_frame,min_distance,sampled_dt,saved_path
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_105711.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_105722.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_105785.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_105825.txt,True,SKIPPED,최소거리 시점 기준 이전 데이터가 부족합니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_105868.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_105898.txt,True,SKIPPED,최소거리 시점 기준 이전 데이터가 부족합니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_105950.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106033.txt,True,SKIPPED,최소거리 시점 기준 이전 데이터가 부족합니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106062.txt,True,SKIPPED,최소거리 시점 기준 이전 데이터가 부족합니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106120.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_10615.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106210.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106216.txt,True,SKIPPED,최소거리 시점 기준 이전 데이터가 부족합니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106301.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106356.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106389.txt,True,SAVED,,92,440,2.5465497717368497,0.09996363636363337,mat_preprocess/mat_txt/collision_extract/Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106389_window.txt
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106415.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106472.txt,True,SKIPPED,최소거리 시점 기준 이전 데이터가 부족합니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_10664.txt,True,SAVED,,92,870,2.8456314508839693,0.09990494296577647,mat_preprocess/mat_txt/collision_extract/Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_10664_window.txt
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106687.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106726.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106739.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106774.txt,True,SKIPPED,최소거리 시점 기준 이전 데이터가 부족합니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106801.txt,True,SKIPPED,최소거리 시점 기준 이전 데이터가 부족합니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106850.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_10693.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106935.txt,True,SKIPPED,최소거리 시점 기준 이전 데이터가 부족합니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_106951.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_107054.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_10713.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_107130.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_107137.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_107184.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
Cut_In_FP_ITSC__050124__Cut_In_FP_ITSC_data_107217.txt,True,SKIPPED,임계거리 이하가 되는 순간이 없습니다.,0,,,,
