Variation,v_ego,v_target,t_cut_in,a_target,R_cut_in
539,90,70,1,-4,10
540,90,70,1,-4,20
541,90,70,1,-4,30
542,90,70,1,-4,40
543,90,70,1,-4,50
544,90,70,1,-2,10
545,90,70,1,-2,20
546,90,70,1,-2,30
547,90,70,1,-2,40
548,90,70,1,-2,50
549,90,70,1,0,10
550,90,70,1,0,20
551,90,70,1,0,30
552,90,70,1,0,40
553,90,70,1,0,50
554,90,70,2,-8,10
555,90,70,2,-8,20
556,90,70,2,-8,30
557,90,70,2,-8,40
558,90,70,2,-8,50
559,90,70,2,-6,10
560,90,70,2,-6,20
561,90,70,2,-6,30
562,90,70,2,-6,40
563,90,70,2,-6,50
564,90,70,2,-4,10
565,90,70,2,-4,20
566,90,70,2,-4,30
567,90,70,2,-4,40
568,90,70,2,-4,50
569,90,70,2,-2,10
570,90,70,2,-2,20
571,90,70,2,-2,30
572,90,70,2,-2,40
573,90,70,2,-2,50
574,90,70,2,0,10
575,90,70,2,0,20
576,90,70,2,0,30
577,90,70,2,0,40
578,90,70,2,0,50
579,90,70,3,-8,10
580,90,70,3,-8,20
581,90,70,3,-8,30
582,90,70,3,-8,40
583,90,70,3,-8,50
584,90,70,3,-6,10
585,90,70,3,-6,20
586,90,70,3,-6,30
587,90,70,3,-6,40
588,90,70,3,-6,50
589,90,70,3,-4,10
590,90,70,3,-4,20
591,90,70,3,-4,30
592,90,70,3,-4,40
593,90,70,3,-4,50
594,90,70,3,-2,10
595,90,70,3,-2,20
596,90,70,3,-2,30
597,90,70,3,-2,40
598,90,70,3,-2,50
599,90,70,3,0,10
600,90,70,3,0,20
601,90,70,3,0,30
602,90,70,3,0,40
603,90,70,3,0,50
604,90,70,4,-8,20
605,90,70,4,-8,30
606,90,70,4,-8,40
607,90,70,4,-8,50
608,90,70,4,-6,20
609,90,70,4,-6,30
610,90,70,4,-6,40
611,90,70,4,-6,50
612,90,70,4,-4,10
613,90,70,4,-4,20
614,90,70,4,-4,30
615,90,70,4,-4,40
616,90,70,4,-4,50
617,90,70,4,-2,10
618,90,70,4,-2,20
619,90,70,4,-2,30
620,90,70,4,-2,40
621,90,70,4,-2,50
622,90,70,4,0,10
623,90,70,4,0,20
624,90,70,4,0,30
625,90,70,4,0,40
626,90,70,4,0,50
627,90,70,5,-8,20
628,90,70,5,-8,30
629,90,70,5,-8,40
630,90,70,5,-8,50
631,90,70,5,-6,20
632,90,70,5,-6,30
633,90,70,5,-6,40
634,90,70,5,-6,50
635,90,70,5,-4,20
636,90,70,5,-4,30
637,90,70,5,-4,40
638,90,70,5,-4,50
639,90,70,5,-2,20
640,90,70,5,-2,30
641,90,70,5,-2,40
642,90,70,5,-2,50
643,90,70,5,0,20
644,90,70,5,0,30
645,90,70,5,0,40
646,90,70,5,0,50
647,110,30,1,-8,10
648,110,30,1,-8,20
649,110,30,1,-8,30
650,110,30,1,-8,40
651,110,30,1,-8,50
652,110,30,1,-6,10
653,110,30,1,-6,20
654,110,30,1,-6,30
655,110,30,1,-6,40
656,110,30,1,-6,50
657,110,30,1,-4,10
658,110,30,1,-4,20
659,110,30,1,-4,30
660,110,30,1,-4,40
661,110,30,1,-4,50
662,110,30,1,-2,10
663,110,30,1,-2,20
664,110,30,1,-2,30
665,110,30,1,-2,40
666,110,30,1,-2,50
667,110,30,1,0,10
668,110,30,1,0,20
669,110,30,1,0,30
670,110,30,1,0,40
671,110,30,1,0,50
672,110,30,2,-8,20
673,110,30,2,-8,30
674,110,30,2,-8,40
675,110,30,2,-8,50
676,110,30,2,-6,20
677,110,30,2,-6,30
678,110,30,2,-6,40
679,110,30,2,-6,50
680,110,30,2,-4,10
681,110,30,2,-4,20
682,110,30,2,-4,30
683,110,30,2,-4,40
684,110,30,2,-4,50
685,110,30,2,-2,10
686,110,30,2,-2,20
687,110,30,2,-2,30
688,110,30,2,-2,40
689,110,30,2,-2,50
690,110,30,2,0,10
691,110,30,2,0,20
692,110,30,2,0,30
693,110,30,2,0,40
694,110,30,2,0,50
695,110,30,3,-8,40
696,110,30,3,-8,50
697,110,30,3,-6,30
698,110,30,3,-6,40
699,110,30,3,-6,50
700,110,30,3,-4,30
701,110,30,3,-4,40
702,110,30,3,-4,50
703,110,30,3,-2,20
704,110,30,3,-2,30
705,110,30,3,-2,40
706,110,30,3,-2,50
707,110,30,3,0,10
708,110,30,3,0,20
709,110,30,3,0,30
710,110,30,3,0,40
711,110,30,3,0,50
712,110,30,4,-6,50
713,110,30,4,-4,40
714,110,30,4,-4,50
715,110,30,4,-2,40
716,110,30,4,-2,50
717,110,30,4,0,30
718,110,30,4,0,40
719,110,30,4,0,50
720,110,30,5,-2,50
721,110,30,5,0,50
722,110,50,1,-8,10
723,110,50,1,-8,20
724,110,50,1,-8,30
725,110,50,1,-8,40
726,110,50,1,-8,50
727,110,50,1,-6,10
728,110,50,1,-6,20
729,110,50,1,-6,30
730,110,50,1,-6,40
731,110,50,1,-6,50
732,110,50,1,-4,10
733,110,50,1,-4,20
734,110,50,1,-4,30
735,110,50,1,-4,40
736,110,50,1,-4,50
737,110,50,1,-2,10
738,110,50,1,-2,20
739,110,50,1,-2,30
740,110,50,1,-2,40
741,110,50,1,-2,50
742,110,50,1,0,10
743,110,50,1,0,20
744,110,50,1,0,30
745,110,50,1,0,40
746,110,50,1,0,50
747,110,50,2,-8,20
748,110,50,2,-8,30
749,110,50,2,-8,40
750,110,50,2,-8,50
751,110,50,2,-6,10
752,110,50,2,-6,20
753,110,50,2,-6,30
754,110,50,2,-6,40
755,110,50,2,-6,50
756,110,50,2,-4,10
757,110,50,2,-4,20
758,110,50,2,-4,30
759,110,50,2,-4,40
760,110,50,2,-4,50
761,110,50,2,-2,10
762,110,50,2,-2,20
763,110,50,2,-2,30
764,110,50,2,-2,40
765,110,50,2,-2,50
766,110,50,2,0,10
767,110,50,2,0,20
768,110,50,2,0,30
769,110,50,2,0,40
770,110,50,2,0,50
771,110,50,3,-8,30
772,110,50,3,-8,40
773,110,50,3,-8,50
774,110,50,3,-6,30
775,110,50,3,-6,40
776,110,50,3,-6,50
777,110,50,3,-4,20
778,110,50,3,-4,30
779,110,50,3,-4,40
780,110,50,3,-4,50
781,110,50,3,-2,20
782,110,50,3,-2,30
783,110,50,3,-2,40
784,110,50,3,-2,50
785,110,50,3,0,10
786,110,50,3,0,20
787,110,50,3,0,30
788,110,50,3,0,40
789,110,50,3,0,50
790,110,50,4,-8,50
791,110,50,4,-6,40
792,110,50,4,-6,50
793,110,50,4,-4,30
794,110,50,4,-4,40
795,110,50,4,-4,50
796,110,50,4,-2,30
797,110,50,4,-2,40
798,110,50,4,-2,50
799,110,50,4,0,20
800,110,50,4,0,30
801,110,50,4,0,40
802,110,50,4,0,50
803,110,50,5,-6,50
804,110,50,5,-4,50
805,110,50,5,-2,40
806,110,50,5,-2,50
807,110,50,5,0,40
808,110,50,5,0,50
809,110,70,1,-8,10
810,110,70,1,-8,20
811,110,70,1,-8,30
812,110,70,1,-8,40
813,110,70,1,-8,50
814,110,70,1,-6,10
815,110,70,1,-6,20
816,110,70,1,-6,30
817,110,70,1,-6,40
818,110,70,1,-6,50
819,110,70,1,-4,10
820,110,70,1,-4,20
821,110,70,1,-4,30
822,110,70,1,-4,40
823,110,70,1,-4,50
824,110,70,1,-2,10
825,110,70,1,-2,20
826,110,70,1,-2,30
827,110,70,1,-2,40
828,110,70,1,-2,50
829,110,70,1,0,10
830,110,70,1,0,20
831,110,70,1,0,30
832,110,70,1,0,40
833,110,70,1,0,50
834,110,70,2,-8,10
835,110,70,2,-8,20
836,110,70,2,-8,30
837,110,70,2,-8,40
838,110,70,2,-8,50
839,110,70,2,-6,10
840,110,70,2,-6,20
841,110,70,2,-6,30
842,110,70,2,-6,40
843,110,70,2,-6,50
844,110,70,2,-4,10
845,110,70,2,-4,20
846,110,70,2,-4,30
847,110,70,2,-4,40
848,110,70,2,-4,50
849,110,70,2,-2,10
850,110,70,2,-2,20
851,110,70,2,-2,30
852,110,70,2,-2,40
853,110,70,2,-2,50
854,110,70,2,0,10
855,110,70,2,0,20
856,110,70,2,0,30
857,110,70,2,0,40
858,110,70,2,0,50
859,110,70,3,-8,20
860,110,70,3,-8,30
861,110,70,3,-8,40
862,110,70,3,-8,50
863,110,70,3,-6,20
864,110,70,3,-6,30
865,110,70,3,-6,40
866,110,70,3,-6,50
867,110,70,3,-4,20
868,110,70,3,-4,30
869,110,70,3,-4,40
870,110,70,3,-4,50
871,110,70,3,-2,10
872,110,70,3,-2,20
873,110,70,3,-2,30
874,110,70,3,-2,40
875,110,70,3,-2,50
876,110,70,3,0,10
877,110,70,3,0,20
878,110,70,3,0,30
879,110,70,3,0,40
880,110,70,3,0,50
881,110,70,4,-8,30
882,110,70,4,-8,40
883,110,70,4,-8,50
884,110,70,4,-6,30
885,110,70,4,-6,40
886,110,70,4,-6,50
887,110,70,4,-4,20
888,110,70,4,-4,30
889,110,70,4,-4,40
890,110,70,4,-4,50
891,110,70,4,-2,20
892,110,70,4,-2,30
893,110,70,4,-2,40
894,110,70,4,-2,50
895,110,70,4,0,20
896,110,70,4,0,30
897,110,70,4,0,40
898,110,70,4,0,50
899,110,70,5,-8,40
900,110,70,5,-8,50
901,110,70,5,-6,40
902,110,70,5,-6,50
903,110,70,5,-4,30
904,110,70,5,-4,40
905,110,70,5,-4,50
906,110,70,5,-2,30
907,110,70,5,-2,40
908,110,70,5,-2,50
909,110,70,5,0,30
910,110,70,5,0,40
911,110,70,5,0,50
912,110,90,1,-8,10
913,110,90,1,-8,20
914,110,90,1,-8,30
915,110,90,1,-8,40
916,110,90,1,-8,50
